"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Navigation functionality","1","0","Verify cart navigation","0"
"0","","0","Get Books","2","0","Fetch books with different credentials","0"
"0","","0","Update Book API","1","0",": Update a book as a user","0"
"0","","1","Product Removal","0","0","Verify product removal functionality (BUG EXPECTED)","0"
"0","","0","Products Page Functionality","1","0","Verify products page title","0"
"0","","0","Products Page Functionality","1","0","Add a single item to the cart","0"
"0","","1","Delete a book from the system","0","0","User attempts to delete a book with a valid ID","0"
"0","","0","Add new book to the system","1","0","Admin adds a new book successfully","0"
"0","","0","Update Book API","1","0","update a book with invalid payload","0"
"0","","1","Social Media Links","2","0","Verify social media links","0"
"0","","1","Update Book API","0","0","validate with empty string for author and title field  (BUG  EXPECTED)","0"
"0","","0","Get Book By Id","1","0","Fetch a book with an invalid ID format","0"
"0","","0","Update Book API","1","0","Successfully update a book","0"
"0","","1","Get Book By Id","0","0","Fetch a book by ID with valid user credentials (BUG EXPECTED)","0"
"0","","0","Add new book to the system","1","0","User tries to add a new book","0"
"0","","0","Navigation functionality","1","0","Verify menu button functionality","0"
"0","","0","Add to Cart","1","0","Add a product to the cart","0"
"0","","1","Add new book to the system","0","0","Admin adds a book with unexpected attributes in the payload(BUG EXPECTED)","0"
"0","","1","Delete a book from the system","0","0","Admin attempts to delete a non-existing book","0"
"0","","1","Delete a book from the system","0","0","Admin attempts to delete a valid book","0"
"0","","0","Get Book By Id","1","0","Fetch a book by ID with valid admin credentials","0"
"0","","1","Add new book to the system","0","0","Admin tries to add a book with an integer as the author(BUG EXPECTED)","0"
"0","","1","Product Images Verification","0","0","Verify unique product images are displayed for each product","0"
"0","","0","Product Sorting","1","0","Verify price sorting (low to high) not working","0"
"0","","1","Add new book to the system","0","0","Admin sends a POST request with missing values in the payload(BUG EXPECTED)","0"
"0","","0","Navigation functionality","1","0","Verify logout functionality","0"
"0","","1","Update Book API","0","0","Validate that numbers are not accepted in title and author fields (BUG EXPECTED)","0"
"0","","1","Delete a book from the system","0","0","User attempts to delete a non-existing book","0"
"0","","0","Update Book API","1","0","Update a book with invalid ID","0"
"0","","0","Remove from Cart","1","0","Remove product from cart page","0"
"0","","0","Delete a book from the system","1","0","Invalid parameter type for ID in DELETE request","0"
"0","","1","Problem User Checkout","0","0","Checkout proceed","0"
