"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","914","Verify cart navigation","","Fri Jan 03 17:50:00 GMT 2025","passed","Fri Jan 03 17:50:01 GMT 2025","","Navigation functionality","Verify cart navigation",""
"","230","Fetch books with different credentials","","Fri Jan 03 17:49:51 GMT 2025","passed","Fri Jan 03 17:49:51 GMT 2025","","Get Books","Fetch books with different credentials",""
"","176",": Update a book as a user","","Fri Jan 03 17:49:52 GMT 2025","passed","Fri Jan 03 17:49:53 GMT 2025","","Update Book API",": Update a book as a user",""
"  As a user
  I want to be able to remove products from the cart
  And verify removal functionality works correctly","1035","Verify product removal functionality (BUG EXPECTED)","","Fri Jan 03 17:50:02 GMT 2025","failed","Fri Jan 03 17:50:03 GMT 2025","","Product Removal","Verify product removal functionality (BUG EXPECTED)",""
"  As a logged-in user
  I want to verify the products page","828","Verify products page title","","Fri Jan 03 17:50:20 GMT 2025","passed","Fri Jan 03 17:50:20 GMT 2025","","Products Page Functionality","Verify products page title",""
"  As a logged-in user
  I want to verify the products page","906","Add a single item to the cart","","Fri Jan 03 17:50:20 GMT 2025","passed","Fri Jan 03 17:50:21 GMT 2025","","Products Page Functionality","Add a single item to the cart",""
"","1752","User attempts to delete a book with a valid ID","","Fri Jan 03 17:49:48 GMT 2025","failed","Fri Jan 03 17:49:50 GMT 2025","","Delete a book from the system","User attempts to delete a book with a valid ID",""
"","216","Admin adds a new book successfully","","Fri Jan 03 17:49:51 GMT 2025","passed","Fri Jan 03 17:49:51 GMT 2025","","Add new book to the system","Admin adds a new book successfully",""
"","187","update a book with invalid payload","","Fri Jan 03 17:49:52 GMT 2025","passed","Fri Jan 03 17:49:52 GMT 2025","","Update Book API","update a book with invalid payload",""
"  As a user
  I want to check social media links
  So that I can follow the company on different platforms","2141","Verify social media links","","Fri Jan 03 17:50:26 GMT 2025","passed","Fri Jan 03 17:50:28 GMT 2025","","Social Media Links","Verify social media links",""
"","176","validate with empty string for author and title field  (BUG  EXPECTED)","","Fri Jan 03 17:49:53 GMT 2025","failed","Fri Jan 03 17:49:53 GMT 2025","","Update Book API","validate with empty string for author and title field  (BUG  EXPECTED)",""
"","95","Fetch a book with an invalid ID format","","Fri Jan 03 17:49:50 GMT 2025","passed","Fri Jan 03 17:49:51 GMT 2025","","Get Book By Id","Fetch a book with an invalid ID format",""
"","525","Successfully update a book","","Fri Jan 03 17:49:52 GMT 2025","passed","Fri Jan 03 17:49:52 GMT 2025","","Update Book API","Successfully update a book",""
"","91","Fetch a book by ID with valid user credentials (BUG EXPECTED)","","Fri Jan 03 17:49:50 GMT 2025","failed","Fri Jan 03 17:49:50 GMT 2025","","Get Book By Id","Fetch a book by ID with valid user credentials (BUG EXPECTED)",""
"","95","User tries to add a new book","","Fri Jan 03 17:49:51 GMT 2025","passed","Fri Jan 03 17:49:51 GMT 2025","","Add new book to the system","User tries to add a new book",""
"","2454","Verify menu button functionality","","Fri Jan 03 17:49:57 GMT 2025","passed","Fri Jan 03 17:50:00 GMT 2025","","Navigation functionality","Verify menu button functionality",""
"","96","Fetch books with different credentials","","Fri Jan 03 17:49:51 GMT 2025","passed","Fri Jan 03 17:49:51 GMT 2025","","Get Books","Fetch books with different credentials",""
"  As a logged-in user
  I want to add a product to the cart
  I want to verify product adding to a cart","1129","Add a product to the cart","","Fri Jan 03 17:50:06 GMT 2025","passed","Fri Jan 03 17:50:07 GMT 2025","","Add to Cart","Add a product to the cart",""
